,Motif_ID,Motif_Symbol,AtID,Source
1656,WRKY_tnt.WRKY43_colamp_a_m1,WRKY43,AT2G46130,DAPv1
1657,WRKY_tnt.WRKY45_col_a_m1,WRKY45,AT3G01970,DAPv1
1658,WRKY_tnt.WRKY45_colamp_a_m1,WRKY45,AT3G01970,DAPv1
1659,WRKY_tnt.WRKY46_col_a_m1,WRKY46,AT2G46400,DAPv1
1660,WRKY_tnt.WRKY46_colamp_a_m1,WRKY46,AT2G46400,DAPv1
1661,WRKY_tnt.WRKY47_col_a_m1,WRKY47,AT4G01720,DAPv1
1662,WRKY_tnt.WRKY47_colamp_a_m1,WRKY47,AT4G01720,DAPv1
1663,WRKY_tnt.WRKY50_col_a_m1,WRKY50,AT5G26170,DAPv1
1664,WRKY_tnt.WRKY50_colamp_a_m1,WRKY50,AT5G26170,DAPv1
1665,WRKY_tnt.WRKY55_col_a_m1,WRKY55,AT2G40740,DAPv1
1666,WRKY_tnt.WRKY59_col_a_m1,WRKY59,AT2G21900,DAPv1
1667,WRKY_tnt.WRKY65_col_a_m1,WRKY65,AT1G29280,DAPv1
1668,WRKY_tnt.WRKY65_colamp_a_m1,WRKY65,AT1G29280,DAPv1
1669,WRKY_tnt.WRKY6_col_a_m1,WRKY6,AT1G62300,DAPv1
1670,WRKY_tnt.WRKY6_colamp_a_m1,WRKY6,AT1G62300,DAPv1
1671,WRKY_tnt.WRKY70_col_m1,WRKY70,AT3G56400,DAPv1
1672,WRKY_tnt.WRKY71_col_a_m1,WRKY71,AT1G29860,DAPv1
1673,WRKY_tnt.WRKY75_col_a_m1,WRKY75,AT5G13080,DAPv1
1674,WRKY_tnt.WRKY75_colamp_a_m1,WRKY75,AT5G13080,DAPv1
1675,WRKY_tnt.WRKY7_col_m1,WRKY7,AT4G24240,DAPv1
1676,WRKY_tnt.WRKY7_colamp_a_m1,WRKY7,AT4G24240,DAPv1
1677,WRKY_tnt.WRKY8_col_m1,WRKY8,AT5G46350,DAPv1
1678,WRKY_tnt.WRKY8_colamp_a_m1,WRKY8,AT5G46350,DAPv1
1679,ZFHD_tnt.ATHB23_col_b_m1,ATHB23,AT5G39760,DAPv1
1680,ZFHD_tnt.ATHB23_colamp_a_m1,ATHB23,AT5G39760,DAPv1
